Note: Times are in microseconds (us)
BatchSize,HybridInsertAvg,HybridInsertStdDev,HybridFindAvg,HybridFindStdDev
16,372926,4341,1264245,4147
32,295478,1498,731108,1836
64,252187,903,418137,3811
128,232608,1192,259600,2316
256,218035,1681,173404,2246
512,211091,1999,123764,873
1024,206924,1901,92769,441
2048,199682,1098,76839,921
4096,199682,1098,69077,819
8192,198516,1843,66780,620
16384,196265,909,64484,431
32768,196266,1752,69640,603
65536,197922,4492,67992,725
131072,196335,794,65269,458
262144,193212,642,63342,409
524288,189791,842,62313,326
1048576,188625,813,62254,359
