# Notes: Hash Entries=2097152
TestEntries,HybridInsertAvg,HybridInsertStdDev,HybridFindAvg,HybridFindStdDev,CPUInsertAvg,CPUInsertStdDev,CPUFindAvg,CPUFindStdDev
104857,17150,157,4115,89,9229,66,5614,56
209714,36491,138,10392,88,21112,118,12244,102
314571,56443,232,17165,167,33526,216,19032,156
419428,75190,248,23287,235,44489,241,25483,158
524285,95010,222,30541,179,58685,237,32775,172
629142,113513,379,36426,221,65952,551,39158,214
733999,133247,388,42457,265,78768,325,46076,278
838856,153171,497,49150,273,90060,228,53615,240
943713,176455,314,58870,262,110188,323,64016,257
1048570,196489,542,64883,222,120003,395,72226,246
1153427,214818,417,70004,161,129033,328,84075,222
1258284,234171,362,75981,198,140302,307,94736,602
1363141,255999,492,83112,178,152391,353,104488,351
1467998,274066,501,88628,145,163532,271,118442,444
1572855,298773,590,97483,213,180197,380,135082,1213
1677712,315408,583,102871,211,191135,392,148967,545
1782569,338185,549,111430,210,207590,496,166079,414
1887426,370040,675,128490,362,248234,424,188433,481
1992283,399629,675,144092,919,272308,600,213015,512
2097140,2229473,407738,2100069,23240,2685871,5382238,2500914,508854
