# Notes: Hash Entries=2097152
TestEntries,HybridInsertAvg,HybridInsertStdDev,HybridFindAvg,HybridFindStdDev,CPUInsertAvg,CPUInsertStdDev,CPUFindAvg,CPUFindStdDev
209714,37029,366,1738,112,21802,357,2854,176
314571,56140,304,1903,109,33935,356,4279,411
419428,75301,413,2335,162,45977,551,5280,399
524285,95779,512,2920,193,59404,605,6433,273
629142,113226,582,3174,172,69468,631,7807,182
733999,133255,679,3606,168,71441,750,8675,88
838856,152896,865,4084,194,85490,914,10321,123
943713,175955,1037,4369,155,97904,1059,11587,163
1048570,194928,1137,4761,149,108789,1138,13067,152
1153427,214323,1220,5251,158,121243,1106,14742,236
1258284,233757,1345,5540,177,133325,1307,16427,222
1363141,253617,1417,6063,166,145951,1182,18150,457
1467998,273790,1569,6558,189,159611,1355,20687,581
1572855,295400,1935,7412,196,174470,1386,23054,887
1677712,316047,1849,8538,265,189961,1521,25699,576
1782569,338045,2050,10303,333,206279,1895,28947,697
1887426,369783,2381,13875,311,237804,1980,35424,687
1992283,399837,2592,24526,838,275410,2611,49599,731
2097140,2284615,433291,1976041,26516,2755192,5692264,2387120,538147
